model,country,mean_js_similarity,mean_total_variation,questions_used
checkpoints/llama3.1-8b-full-prism,Serbia,0.4836209238905319,0.6162202678366989,199
checkpoints/llama3.1-8b-full-prism,Albania,0.4809935899931296,0.6201531964962238,115
checkpoints/llama3.1-8b-full-prism,Bangladesh,0.4794313903491142,0.6168638712076029,255
checkpoints/llama3.1-8b-full-prism,Uruguay,0.4792247003226666,0.6191114115515948,199
checkpoints/llama3.1-8b-full-prism,Ethiopia,0.4791473061877943,0.6188085256869889,232
checkpoints/llama3.1-8b-full-prism,Vietnam,0.47844731080214165,0.6261726209861073,317
checkpoints/llama3.1-8b-full-prism,Armenia,0.4775483329275767,0.6154851798651657,199
checkpoints/llama3.1-8b-full-prism,Iraq,0.4767483672769601,0.6102990143426809,189
checkpoints/llama3.1-8b-full-prism,Cyprus,0.47592532868720744,0.6232121180844031,199
checkpoints/llama3.1-8b-full-prism,Montenegro,0.47576167131072716,0.6234019620457161,115
checkpoints/llama3.1-8b-full-prism,Belarus,0.4745750800007597,0.6290240661473254,115
checkpoints/llama3.1-8b-full-prism,Iran,0.4736378633581038,0.6168055110389458,194
checkpoints/llama3.1-8b-full-prism,Czechia,0.4712730255904148,0.6320801999546632,199
checkpoints/llama3.1-8b-full-prism,Nicaragua,0.4711741453770657,0.6214004923950638,250
checkpoints/llama3.1-8b-full-prism,Andorra,0.46742484246367416,0.6320055578066139,198
checkpoints/llama3.1-8b-full-prism,Kyrgyzstan,0.46725776643001,0.6339497655408675,195
checkpoints/llama3.1-8b-full-prism,Zimbabwe,0.46714537874724904,0.6305437732953111,199
checkpoints/llama3.1-8b-full-prism,Libya,0.4663385926237864,0.6295711869066198,199
checkpoints/llama3.1-8b-full-prism,Estonia,0.4659296344169272,0.6375126665794726,115
checkpoints/llama3.1-8b-full-prism,Philippines (Non-national sample),0.4657818527532992,0.6308502386704099,1
checkpoints/llama3.1-8b-full-prism,Puerto Rico,0.46563791481806677,0.6245129211549253,199
checkpoints/llama3.1-8b-full-prism,Singapore,0.46554924746444754,0.6282082465458245,245
checkpoints/llama3.1-8b-full-prism,Georgia,0.4647035429804594,0.6351966912463791,115
checkpoints/llama3.1-8b-full-prism,Croatia,0.4631982646790121,0.641593695948681,115
checkpoints/llama3.1-8b-full-prism,Ecuador,0.4628902546265983,0.6329130183185325,199
checkpoints/llama3.1-8b-full-prism,Bosnia Herzegovina,0.461951580804325,0.6395022235756799,115
checkpoints/llama3.1-8b-full-prism,Guatemala,0.461767359877642,0.628396299612692,201
checkpoints/llama3.1-8b-full-prism,Austria,0.4601558699838528,0.6482209630382805,115
checkpoints/llama3.1-8b-full-prism,Latvia,0.4592961318245327,0.6460950876594085,116
checkpoints/llama3.1-8b-full-prism,Maldives,0.4578655754684322,0.64624760978974,199
checkpoints/llama3.1-8b-full-prism,Great Britain,0.45758304340976486,0.647041990461465,199
checkpoints/llama3.1-8b-full-prism,Northern Ireland,0.45545361646175303,0.6468974559048031,198
checkpoints/llama3.1-8b-full-prism,Tajikistan,0.4529908310975412,0.6347086894027179,190
checkpoints/llama3.1-8b-full-prism,Myanmar,0.45298532553672755,0.6374008173372143,196
checkpoints/llama3.1-8b-full-prism,Slovenia,0.45188839769128514,0.6594084344916452,115
checkpoints/llama3.1-8b-full-prism,Portugal,0.45126485454801396,0.6538677518315877,115
checkpoints/llama3.1-8b-full-prism,Hong Kong SAR,0.4474842795542234,0.6569058847050558,199
checkpoints/llama3.1-8b-full-prism,Mongolia,0.4471979844992771,0.6478009847539444,199
checkpoints/llama3.1-8b-full-prism,Finland,0.44677715552061,0.6666568040140098,115
checkpoints/llama3.1-8b-full-prism,Tanzania (Non-national sample),0.4449801136750777,0.669951216194848,1
checkpoints/llama3.1-8b-full-prism,Denmark,0.44451588882962206,0.6666881309206678,175
checkpoints/llama3.1-8b-full-prism,Switzerland,0.4438197024485296,0.672653198615419,115
checkpoints/llama3.1-8b-full-prism,Azerbaijan,0.44169614312132843,0.6682178242658393,115
checkpoints/llama3.1-8b-full-prism,Angola,0.44135049363399526,0.7141851537560092,2
checkpoints/llama3.1-8b-full-prism,Macau SAR,0.4343187397983122,0.6725463400363632,198
checkpoints/llama3.1-8b-full-prism,Iceland,0.4340718166597557,0.6846830782495131,114
checkpoints/llama3.1-8b-full-prism,Taiwan ROC,0.4316826657893045,0.6700923883183136,199
checkpoints/llama3.1-8b-full-prism,Norway,0.4309743248590365,0.6843203667443268,115
checkpoints/llama3.1-8b-full-prism,South Korea,0.412416226802234,0.695028067156887,199
checkpoints/llama3.1-8b-soft-panel,Poland (Non-national sample),0.7390788614854072,0.3203749973412212,8
checkpoints/llama3.1-8b-soft-panel,Russia (Non-national sample),0.6939118883189349,0.3880354311192088,22
checkpoints/llama3.1-8b-soft-panel,India (Old national sample),0.6934640421270447,0.3701568935589397,83
checkpoints/llama3.1-8b-soft-panel,Nigeria (Non-national sample),0.6745441491786928,0.4058496683175789,219
checkpoints/llama3.1-8b-soft-panel,Egypt (Non-national sample),0.6737994221580288,0.406021103979227,55
checkpoints/llama3.1-8b-soft-panel,India (Non-national sample),0.6676576694204126,0.4113732785178852,252
checkpoints/llama3.1-8b-soft-panel,China (Non-national sample),0.6668243157327556,0.4023659387881827,226
checkpoints/llama3.1-8b-soft-panel,Venezuela (Non-national sample),0.6549148313761083,0.4251895088219148,125
checkpoints/llama3.1-8b-soft-panel,Bolivia (Non-national sample),0.6492270637799372,0.4286057037854309,125
checkpoints/llama3.1-8b-soft-panel,Brazil (Non-national sample),0.6465363257194904,0.4304113218699873,185
checkpoints/llama3.1-8b-soft-panel,Pakistan (Non-national sample),0.6427800996236916,0.4468232604398455,24
checkpoints/llama3.1-8b-soft-panel,Angola (Non-national sample),0.6393024745295357,0.45316428817149695,86
checkpoints/llama3.1-8b-soft-panel,Czech Rep.,0.6391023769587354,0.43884113352299703,239
checkpoints/llama3.1-8b-soft-panel,Ethiopia (Non-national sample),0.6384356736695186,0.4329881766819792,75
checkpoints/llama3.1-8b-soft-panel,S. Africa (Non-national sample),0.6367009958937635,0.4426327235209283,73
checkpoints/llama3.1-8b-soft-panel,Morocco (Non-national sample),0.6344826420602622,0.4447751926970802,77
checkpoints/llama3.1-8b-soft-panel,Kuwait,0.6327740392837047,0.4546198353105573,95
checkpoints/llama3.1-8b-soft-panel,Palest. ter.,0.632640230798529,0.4445854708693216,234
checkpoints/llama3.1-8b-soft-panel,Britain,0.6309906791495238,0.44769948963820283,647
checkpoints/llama3.1-8b-soft-panel,Indonesia (Non-national sample),0.6244782034136824,0.45876539112165077,105
checkpoints/llama3.1-8b-soft-panel,Israel,0.6234315668751282,0.45591537095273316,344
checkpoints/llama3.1-8b-soft-panel,Guatemala (Non-national sample),0.6216191061585157,0.4728507468286151,87
checkpoints/llama3.1-8b-soft-panel,S. Africa,0.6209203855209856,0.4689368329107044,330
checkpoints/llama3.1-8b-soft-panel,Senegal (Non-national sample),0.6207508230152835,0.4711202362461949,119
checkpoints/llama3.1-8b-soft-panel,Ivory Coast (Non-national sample),0.6202401634528609,0.47396104371285586,119
checkpoints/llama3.1-8b-soft-panel,India (Current national sample),0.6185159172937635,0.47320213342947154,229
checkpoints/llama3.1-8b-soft-panel,Ghana,0.6156914158230455,0.478223386914156,243
checkpoints/llama3.1-8b-soft-panel,Bangladesh (Non-national sample),0.6120521590569298,0.482938499726597,124
checkpoints/llama3.1-8b-soft-panel,Uzbekistan,0.6118942497611628,0.48380102292505645,89
checkpoints/llama3.1-8b-soft-panel,Russia,0.6102445826024855,0.4738446465114005,712
checkpoints/llama3.1-8b-soft-panel,Tanzania,0.6067533406756258,0.48772510386593076,245
checkpoints/llama3.1-8b-soft-panel,Poland,0.6040506314354009,0.48087479771784236,578
checkpoints/llama3.1-8b-soft-panel,Honduras (Non-national sample),0.6027411100313698,0.4986278880413816,87
checkpoints/llama3.1-8b-soft-panel,Mali,0.6026946463106884,0.4928669202774027,75
checkpoints/llama3.1-8b-soft-panel,Mali (Non-national sample),0.6015903549335925,0.4961635570418651,87
checkpoints/llama3.1-8b-soft-panel,Uganda,0.5986924546669977,0.495347389028215,215
checkpoints/llama3.1-8b-soft-panel,Jordan,0.5964375524267108,0.4819177213407982,597
checkpoints/llama3.1-8b-soft-panel,Turkey,0.5954068144654273,0.49628591703749286,662
checkpoints/llama3.1-8b-soft-panel,France,0.5908315609029511,0.4885110898290516,758
checkpoints/llama3.1-8b-soft-panel,UK,0.5904390152685032,0.4941926727634495,846
checkpoints/llama3.1-8b-soft-panel,USA,0.5895060347458109,0.4959385078883377,846
checkpoints/llama3.1-8b-soft-panel,United States,0.5895060347458109,0.4959385078883377,846
checkpoints/llama3.1-8b-soft-panel,Senegal,0.5862598832467301,0.5079037396682644,155
checkpoints/llama3.1-8b-soft-panel,El Salvador,0.58313453630287,0.5017354141650525,92
checkpoints/llama3.1-8b-soft-panel,Egypt,0.5816108027868185,0.4972426716275362,421
checkpoints/llama3.1-8b-soft-panel,Indonesia,0.5813271590865584,0.5047061987764717,594
checkpoints/llama3.1-8b-soft-panel,Spain,0.5809902334974926,0.5018734338159907,670
checkpoints/llama3.1-8b-soft-panel,S. Korea,0.5804539195937322,0.5065787396578612,467
checkpoints/llama3.1-8b-soft-panel,Mexico,0.5799237023504307,0.5045771526835736,598
checkpoints/llama3.1-8b-soft-panel,Germany,0.5792558391093645,0.507989157230683,844
checkpoints/llama3.1-8b-soft-panel,Taiwan,0.5773645566225784,0.4978474052815144,49
checkpoints/llama3.1-8b-soft-panel,Pakistan,0.5768642583069539,0.5139099924203357,563
checkpoints/llama3.1-8b-soft-panel,Argentina,0.5752681600251085,0.509659091028902,571
checkpoints/llama3.1-8b-soft-panel,Italy,0.5738464919561829,0.5156202665570149,609
checkpoints/llama3.1-8b-soft-panel,Burkina Faso,0.5717667310168735,0.5272564764262327,48
checkpoints/llama3.1-8b-soft-panel,Lebanon,0.5692212268858019,0.5172985054187581,598
checkpoints/llama3.1-8b-soft-panel,Japan,0.5685473914073212,0.5198550195389903,708
checkpoints/llama3.1-8b-soft-panel,Vietnam (Non-national sample),0.5658016755937336,0.5262878907692099,68
checkpoints/llama3.1-8b-soft-panel,Kenya,0.5657996857867202,0.5274067128356651,569
checkpoints/llama3.1-8b-soft-panel,Bulgaria,0.5634427101104127,0.5317275179844608,302
checkpoints/llama3.1-8b-soft-panel,Ukraine,0.5614791497426428,0.5320536505010777,475
checkpoints/llama3.1-8b-soft-panel,Brazil,0.5569210318530968,0.5326547614629358,493
checkpoints/llama3.1-8b-soft-panel,Lithuania,0.5543820059071585,0.5361837532915444,237
checkpoints/llama3.1-8b-soft-panel,Canada,0.5492322146624832,0.5397873473691785,663
checkpoints/llama3.1-8b-soft-panel,Slovakia,0.5462659075197424,0.5439177223962783,386
checkpoints/llama3.1-8b-soft-panel,Hungary,0.5454799541571836,0.547685634406346,302
checkpoints/llama3.1-8b-soft-panel,Nigeria,0.5447847795104641,0.548870678869196,469
checkpoints/llama3.1-8b-soft-panel,Tunisia,0.5446751008968674,0.5472737168627803,421
checkpoints/llama3.1-8b-soft-panel,Honduras,0.5440365605901609,0.5323011486934358,2
checkpoints/llama3.1-8b-soft-panel,Chile,0.5422062798017849,0.5476106821420623,403
checkpoints/llama3.1-8b-soft-panel,Peru,0.5376374053083187,0.5587547450124277,417
checkpoints/llama3.1-8b-soft-panel,Philippines,0.523982383383059,0.5700219440297967,495
checkpoints/llama3.1-8b-soft-panel,Ivory Coast,0.5231098362099034,0.5523733305008024,2
checkpoints/llama3.1-8b-soft-panel,Australia,0.5208089539784613,0.5710370703823374,538
checkpoints/llama3.1-8b-soft-panel,Malaysia,0.5196808911022436,0.5701276051705426,376
checkpoints/llama3.1-8b-soft-panel,Greece,0.5184082500601984,0.5716400166082812,467
checkpoints/llama3.1-8b-soft-panel,China,0.5150907781022416,0.5755253911256494,289
checkpoints/llama3.1-8b-soft-panel,Venezuela,0.5108198794801363,0.5784306135183589,345
checkpoints/llama3.1-8b-soft-panel,Netherlands,0.5083674765873191,0.5895494927123034,468
checkpoints/llama3.1-8b-soft-panel,Sweden,0.5052191673980064,0.590869253788339,411
checkpoints/llama3.1-8b-soft-panel,Belgium,0.5033489947718031,0.5825800232811029,103
checkpoints/llama3.1-8b-soft-panel,Bolivia,0.49729902201585885,0.592832023027794,253
checkpoints/llama3.1-8b-soft-panel,Thailand,0.4924634101124196,0.6027439142097634,252
checkpoints/llama3.1-8b-soft-panel,Colombia,0.49087025745674523,0.5978880917365211,280
checkpoints/llama3.1-8b-soft-panel,Morocco,0.4901004711670803,0.6026288521911951,273
checkpoints/llama3.1-8b-soft-panel,Kazakhstan,0.4894064971469711,0.6046096546929044,196
checkpoints/llama3.1-8b-soft-panel,North Macedonia,0.4873942232598943,0.6104266465544881,115
checkpoints/llama3.1-8b-soft-panel,Colombia (Non-national sample),0.48600326694255547,0.6240938235390497,1
checkpoints/llama3.1-8b-soft-panel,Jordan (Non-national sample),0.485199084516891,0.6233435067335982,1
checkpoints/llama3.1-8b-soft-panel,New Zealand,0.4847492281743913,0.6106342131999634,248
checkpoints/llama3.1-8b-soft-panel,Serbia,0.48383489692188497,0.6157857245376859,199
checkpoints/llama3.1-8b-soft-panel,Romania,0.483784387957178,0.6090993496101642,199
checkpoints/llama3.1-8b-soft-panel,Albania,0.4812708631521236,0.6194648384604161,115
checkpoints/llama3.1-8b-soft-panel,Uruguay,0.4796632341367907,0.6186361515288983,199
checkpoints/llama3.1-8b-soft-panel,Bangladesh,0.47850679388038014,0.619001787948269,255
checkpoints/llama3.1-8b-soft-panel,Ethiopia,0.4781072261915288,0.6206968878283038,232
checkpoints/llama3.1-8b-soft-panel,Armenia,0.47735078260974195,0.6153674056247486,199
checkpoints/llama3.1-8b-soft-panel,Vietnam,0.4770837452438266,0.6278959168803575,317
checkpoints/llama3.1-8b-soft-panel,Iraq,0.4770140817722706,0.6100638940401807,189
checkpoints/llama3.1-8b-soft-panel,Cyprus,0.47597423694318136,0.6232412667651741,199
checkpoints/llama3.1-8b-soft-panel,Montenegro,0.4756319699744423,0.6233792872616062,115
checkpoints/llama3.1-8b-soft-panel,Belarus,0.4748423374762983,0.627813036153849,115
checkpoints/llama3.1-8b-soft-panel,Iran,0.47404994733370365,0.6164170171420293,194
checkpoints/llama3.1-8b-soft-panel,Czechia,0.4718565350939231,0.6310849475624233,199
checkpoints/llama3.1-8b-soft-panel,Nicaragua,0.47018499648432177,0.6232897842370653,250
checkpoints/llama3.1-8b-soft-panel,Andorra,0.4674185929183575,0.6322967077635334,198
checkpoints/llama3.1-8b-soft-panel,Zimbabwe,0.46661600385748875,0.6322210398832688,199
checkpoints/llama3.1-8b-soft-panel,Kyrgyzstan,0.46644447930638927,0.6347197612018194,195
checkpoints/llama3.1-8b-soft-panel,Philippines (Non-national sample),0.4660820611168406,0.6302189766678781,1
checkpoints/llama3.1-8b-soft-panel,Estonia,0.4659684249623371,0.6367624071376737,115
checkpoints/llama3.1-8b-soft-panel,Libya,0.4658229344354443,0.6312933499666172,199
checkpoints/llama3.1-8b-soft-panel,Puerto Rico,0.4654770331460659,0.6246855876422478,199
checkpoints/llama3.1-8b-soft-panel,Singapore,0.46446488754381265,0.6291538274409304,245
checkpoints/llama3.1-8b-soft-panel,Georgia,0.46393869165884466,0.636219347893362,115
checkpoints/llama3.1-8b-soft-panel,Croatia,0.46325894105139287,0.6411211908983352,115
checkpoints/llama3.1-8b-soft-panel,Ecuador,0.4631423705064289,0.6326044680853163,199
checkpoints/llama3.1-8b-soft-panel,Guatemala,0.46196868268354074,0.6281948041348439,201
