clause_id,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-soft-panel-clipped,checkpoints/llama3.1-8b-soft-panel-sqrt,checkpoints/llama3.1-8b-soft-panel-square
64,-0.028500000000000025,-0.038500000000000034,-0.044833333333333364,-0.03316666666666668
65,-0.027166666666666672,-0.01416666666666666,0.0015000000000000013,-0.029166666666666674
66,-0.06333333333333335,-0.10166666666666668,-0.11233333333333335,-0.07066666666666668
67,-0.04833333333333334,-0.01999999999999999,-0.021666666666666667,-0.0020000000000000018
68,0.022999999999999993,0.010666666666666658,-0.03733333333333333,-0.024333333333333346
69,-0.03866666666666668,-0.032,-0.037000000000000005,-0.032333333333333325
70,-0.032,0.02933333333333335,0.03266666666666668,0.014000000000000012
71,0.0030000000000000027,-0.020333333333333342,-0.027666666666666673,-0.007000000000000006
72,-0.018333333333333313,0.001333333333333353,-0.010333333333333333,-0.004666666666666652
73,0.005833333333333357,-0.00949999999999998,-0.008833333333333332,-0.022499999999999992
74,-0.043166666666666687,0.07116666666666666,0.04783333333333331,0.06316666666666665
75,-0.014333333333333337,0.01933333333333334,0.003333333333333327,0.029666666666666675
