layer,hard_steps,soft_steps,hard_l1_over_l2_mean,soft_l1_over_l2_mean,delta_l1_over_l2_mean,hard_l1_over_l2_median,soft_l1_over_l2_median,hard_l1_over_sqrt_d_l2_mean,soft_l1_over_sqrt_d_l2_mean,delta_l1_over_sqrt_d_l2_mean,hard_l1_over_sqrt_d_l2_median,soft_l1_over_sqrt_d_l2_median
model.layers.15,500,500,8521.664109351721,8496.664132126378,24.999977225343173,8534.419780788736,8512.78151139032,0.577011716726452,0.5753189394012947,0.0016927773251572686,0.5778754179683014,0.5764102657618365
model.layers.16,500,500,8889.919169022292,8820.423005199102,69.49616382319073,8888.989757075902,8823.058652385975,0.6019466920372641,0.597241026538255,0.004705665499009193,0.6018837604811913,0.5974194892526342
model.layers.17,500,500,9080.743569248267,9047.857293158004,32.88627609026298,9085.398458049047,9052.89120293702,0.6148676325196345,0.6126408647921013,0.002226767727533163,0.61518282041529,0.6129817166358449
model.layers.18,500,500,9349.477941535604,9336.056319214958,13.421622320645838,9353.603881956375,9331.520622689884,0.6330639471721631,0.632155153627016,0.0009087935451470575,0.6333433193622364,0.6318480363779786
model.layers.19,500,500,9160.352300022036,9144.446698065998,15.905601956037572,9157.346596635867,9135.692957338126,0.6202580316037497,0.6191810449292632,0.0010769866744865242,0.6200545119568159,0.6185883190367202
model.layers.2,500,500,6888.680060935339,6907.075367561297,-18.395306625958256,6920.424117226481,6940.837120747357,0.46644048121746073,0.4676860486699851,-0.0012455674525243543,0.4685899079234855,0.4699720959625797
model.layers.20,500,500,9414.986150501463,9371.684585489922,43.30156501154124,9421.118092897737,9359.764814466984,0.6374995836429299,0.6345675846761044,0.0029319989668254998,0.6379147845430756,0.6337604832164982
model.layers.21,500,500,9147.041151357229,9104.911190848607,42.12996050862239,9143.66644447796,9087.809155297078,0.6193567183574025,0.61650405008431,0.0028526682730924957,0.619128213057866,0.6153460515095627
model.layers.22,500,500,9301.069184729698,9282.811847634048,18.257337095650655,9300.508558828049,9265.946830961482,0.6297861343517168,0.6285499089754015,0.001236225376315292,0.6297481737245669,0.6274079592226323
model.layers.23,500,500,9465.322693502229,9451.331074532714,13.991618969514093,9469.917712545674,9443.522151997131,0.6409079290926257,0.6399605404162142,0.0009473886764115313,0.6412190631378809,0.6394317892544433
model.layers.24,500,500,9470.949618447983,9464.470891270197,6.478727177785913,9474.933349021621,9455.096781872056,0.6412889346780581,0.6408502525799272,0.00043868209813091585,0.6415586776751738,0.6402155208083866
model.layers.25,500,500,9179.853621379232,9260.513913421955,-80.66029204272309,9194.343488796316,9250.29165643793,0.6215784885908306,0.6270400901026942,-0.00546160151186359,0.6225596142449497,0.6263479292787656
model.layers.26,500,500,9360.862541622755,9367.102387596186,-6.23984597343042,9362.472638902,9347.816845997499,0.6338348115897502,0.6342573187657004,-0.00042250717595015974,0.6339438331356917,0.632951472475227
model.layers.27,500,500,9010.584152864583,9059.320733915996,-48.73658105141294,8998.830520392872,9039.708044903964,0.610117057423903,0.613417067602548,-0.0033000101786450076,0.609321205397439,0.612089069782963
model.layers.28,500,500,9095.107252061158,9164.805948706471,-69.69869664531325,9092.914019818869,9155.311737503922,0.6158402140684995,0.6205595932987574,-0.004719379230257892,0.6156917077808703,0.6199167292953599
model.layers.29,500,500,6719.445941890461,7420.612650624084,-701.1667087336236,6870.214036891963,7602.991817990423,0.454981443603949,0.5024582510826473,-0.04747680747869831,0.46519012540694626,0.5148073550964639
model.layers.3,500,500,7592.686573453266,7584.14367713655,8.542896316715996,7638.87912141295,7635.138163340207,0.5141095750894878,0.5135311257154842,0.0005784493740036423,0.5172373258499217,0.5169840212591685
model.layers.30,500,500,7565.551389622311,7560.277588552205,5.273801070105947,7553.088317483538,7543.0704623479705,0.5122722204595624,0.511915125299499,0.00035709516006343645,0.5114283314540585,0.5107500109153098
model.layers.31,500,500,5547.960171229033,5477.463893589549,70.4962776394841,5553.739152963173,5470.880189227093,0.37565878936929575,0.3708854050089636,0.004773384360332145,0.3760500908954481,0.37043961478444265
model.layers.4,500,500,8122.4402271048575,8107.592556837081,14.847670267776266,8180.914366651887,8159.456413026123,0.5499798066796024,0.5489744537813117,0.0010053528982907345,0.5539391581878492,0.5524862153705595
model.layers.5,500,500,8523.890199008383,8497.666862023965,26.223336984417983,8554.466308363402,8531.75412299201,0.5771624478275488,0.5753868354005028,0.0017756124270459361,0.5792327914979116,0.5776949232008761
model.layers.6,500,500,8704.476964297712,8736.802948830129,-32.32598453241735,8736.511829825056,8750.156074838656,0.5893901862270617,0.5915790159662501,-0.002188829739188325,0.5915593039622643,0.5924831715470116
model.layers.7,500,500,8611.978935323676,8559.741671340007,52.23726398366853,8649.236714923802,8577.249120841423,0.5831270378786599,0.5795899924164678,0.0035370454621921343,0.5856498051565784,0.5807754420378892
model.layers.8,500,500,8528.858646595105,8479.245889115162,49.61275747994296,8554.271672074903,8502.38293186262,0.5774988671506635,0.5741395300543305,0.0033593370963329594,0.5792196124500728,0.5757061659348779
model.layers.9,500,500,8037.231439605865,7998.97427512741,38.2571644784548,8082.787398734955,8050.19658171704,0.5442102212882918,0.5416197845062818,0.002590436782009986,0.5472948678839433,0.5450881060313624
model.norm,500,500,44.485146283228666,43.75985885916773,0.7252874240609373,44.9792520823452,44.34599421508625,0.6950804106754479,0.6837477946744958,0.011332616000952145,0.7028008137866437,0.6929061596107227
