clause_id,model,win_share
22,checkpoints/llama3.1-8b-adversary-hard,0.1692857142857143
22,checkpoints/llama3.1-8b-adversary-soft,0.09904761904761905
22,checkpoints/llama3.1-8b-full-prism,0.1061904761904762
22,checkpoints/llama3.1-8b-hard-panel,0.14976190476190476
22,checkpoints/llama3.1-8b-soft-panel,0.08357142857142857
22,checkpoints/llama3.1-8b-us-rep,0.16285714285714287
22,meta-llama/Llama-3.1-8B,0.2292857142857143
23,checkpoints/llama3.1-8b-adversary-hard,0.08785714285714286
23,checkpoints/llama3.1-8b-adversary-soft,0.17476190476190476
23,checkpoints/llama3.1-8b-full-prism,0.21571428571428572
23,checkpoints/llama3.1-8b-hard-panel,0.19595238095238096
23,checkpoints/llama3.1-8b-soft-panel,0.18833333333333332
23,checkpoints/llama3.1-8b-us-rep,0.09214285714285714
23,meta-llama/Llama-3.1-8B,0.04523809523809524
24,checkpoints/llama3.1-8b-adversary-hard,0.18619047619047618
24,checkpoints/llama3.1-8b-adversary-soft,0.11214285714285714
24,checkpoints/llama3.1-8b-full-prism,0.09666666666666666
24,checkpoints/llama3.1-8b-hard-panel,0.13738095238095238
24,checkpoints/llama3.1-8b-soft-panel,0.08
24,checkpoints/llama3.1-8b-us-rep,0.1469047619047619
24,meta-llama/Llama-3.1-8B,0.24071428571428571
25,checkpoints/llama3.1-8b-adversary-hard,0.1838095238095238
25,checkpoints/llama3.1-8b-adversary-soft,0.09476190476190476
25,checkpoints/llama3.1-8b-full-prism,0.11857142857142858
25,checkpoints/llama3.1-8b-hard-panel,0.12214285714285714
25,checkpoints/llama3.1-8b-soft-panel,0.08714285714285715
25,checkpoints/llama3.1-8b-us-rep,0.17452380952380953
25,meta-llama/Llama-3.1-8B,0.21904761904761905
26,checkpoints/llama3.1-8b-adversary-hard,0.18047619047619048
26,checkpoints/llama3.1-8b-adversary-soft,0.1473809523809524
26,checkpoints/llama3.1-8b-full-prism,0.16976190476190475
26,checkpoints/llama3.1-8b-hard-panel,0.1719047619047619
26,checkpoints/llama3.1-8b-soft-panel,0.17095238095238094
26,checkpoints/llama3.1-8b-us-rep,0.11047619047619048
26,meta-llama/Llama-3.1-8B,0.04904761904761905
27,checkpoints/llama3.1-8b-adversary-hard,0.14285714285714285
27,checkpoints/llama3.1-8b-adversary-soft,0.13285714285714287
27,checkpoints/llama3.1-8b-full-prism,0.1676190476190476
27,checkpoints/llama3.1-8b-hard-panel,0.14142857142857143
27,checkpoints/llama3.1-8b-soft-panel,0.15214285714285714
27,checkpoints/llama3.1-8b-us-rep,0.15857142857142856
